path,image_name,label_name,label_idx,split
data\rainy\2454575374.jpg,2454575374.jpg,rainy,2,train
data\rainy\rain143.jpg,rain143.jpg,rainy,2,train
data\cloudy\c2395.jpg,c2395.jpg,cloudy,0,train
data\sunny\s2141.jpg,s2141.jpg,sunny,4,train
data\cloudy\c1291.jpg,c1291.jpg,cloudy,0,train
data\sunny\s3252.jpg,s3252.jpg,sunny,4,train
data\sunny\s1846.jpg,s1846.jpg,sunny,4,train
data\cloudy\c0558.jpg,c0558.jpg,cloudy,0,train
data\rainy\1720.jpg,1720.jpg,rainy,2,train
data\snowy\3256853198.jpg,3256853198.jpg,snowy,3,train
data\sunny\s0108.jpg,s0108.jpg,sunny,4,train
data\rainy\rainy day-146.jpeg,rainy day-146.jpeg,rainy,2,train
data\cloudy\cloudy weather-118.jpeg,cloudy weather-118.jpeg,cloudy,0,train
data\foggy\152.jpg,152.jpg,foggy,1,train
data\sunny\s0594.jpg,s0594.jpg,sunny,4,train
data\sunny\s4446.jpg,s4446.jpg,sunny,4,train
data\snowy\snowy weather-122.jpeg,snowy weather-122.jpeg,snowy,3,train
data\rainy\33.jpg,33.jpg,rainy,2,train
data\foggy\4628.jpg,4628.jpg,foggy,1,train
data\snowy\2169502473.jpg,2169502473.jpg,snowy,3,train
data\rainy\1576.jpg,1576.jpg,rainy,2,train
data\cloudy\c0464.jpg,c0464.jpg,cloudy,0,train
data\cloudy\c1719.jpg,c1719.jpg,cloudy,0,train
data\sunny\s4304.jpg,s4304.jpg,sunny,4,train
data\sunny\shine203.jpg,shine203.jpg,sunny,4,train
data\sunny\s112.jpg,s112.jpg,sunny,4,train
data\rainy\rainy day-60.jpeg,rainy day-60.jpeg,rainy,2,train
data\snowy\1196.jpg,1196.jpg,snowy,3,train
data\sunny\s4010.jpg,s4010.jpg,sunny,4,train
data\sunny\7586266.jpg,7586266.jpg,sunny,4,train
data\sunny\s4947.jpg,s4947.jpg,sunny,4,train
data\cloudy\c1236.jpg,c1236.jpg,cloudy,0,train
data\snowy\364484575.jpg,364484575.jpg,snowy,3,train
data\snowy\97862576.jpg,97862576.jpg,snowy,3,train
data\cloudy\c1430.jpg,c1430.jpg,cloudy,0,train
data\sunny\27277159.jpg,27277159.jpg,sunny,4,train
data\sunny\s1876.jpg,s1876.jpg,sunny,4,train
data\cloudy\cloudy277.jpg,cloudy277.jpg,cloudy,0,train
data\snowy\91753004.jpg,91753004.jpg,snowy,3,train
data\sunny\s3469.jpg,s3469.jpg,sunny,4,train
data\sunny\s0759.jpg,s0759.jpg,sunny,4,train
data\sunny\26323742.jpg,26323742.jpg,sunny,4,train
data\cloudy\c2813.jpg,c2813.jpg,cloudy,0,train
data\cloudy\13397324.jpg,13397324.jpg,cloudy,0,train
data\foggy\193.jpg,193.jpg,foggy,1,train
data\cloudy\c0339.jpg,c0339.jpg,cloudy,0,train
data\snowy\3267837372.jpg,3267837372.jpg,snowy,3,train
data\foggy\29.jpg,29.jpg,foggy,1,train
data\snowy\372450093.jpg,372450093.jpg,snowy,3,train
data\sunny\s4237.jpg,s4237.jpg,sunny,4,train
data\cloudy\c2037.jpg,c2037.jpg,cloudy,0,train
data\rainy\409068451.jpg,409068451.jpg,rainy,2,train
data\cloudy\c4094.jpg,c4094.jpg,cloudy,0,train
data\cloudy\c0278.jpg,c0278.jpg,cloudy,0,train
data\sunny\s2816.jpg,s2816.jpg,sunny,4,train
data\cloudy\c0985.jpg,c0985.jpg,cloudy,0,train
data\snowy\1401.jpg,1401.jpg,snowy,3,train
data\sunny\sunny weather-99.jpeg,sunny weather-99.jpeg,sunny,4,train
data\cloudy\c1506.jpg,c1506.jpg,cloudy,0,train
data\cloudy\11097300.jpg,11097300.jpg,cloudy,0,train
data\sunny\16409776.jpg,16409776.jpg,sunny,4,train
data\cloudy\492531.jpg,492531.jpg,cloudy,0,train
data\cloudy\24809633.jpg,24809633.jpg,cloudy,0,train
data\foggy\foggy day-61.jpeg,foggy day-61.jpeg,foggy,1,train
data\cloudy\c2027.jpg,c2027.jpg,cloudy,0,train
data\sunny\20044094.jpg,20044094.jpg,sunny,4,train
data\snowy\snowy weather-121.jpeg,snowy weather-121.jpeg,snowy,3,train
data\sunny\s3373.jpg,s3373.jpg,sunny,4,train
data\rainy\1781.jpg,1781.jpg,rainy,2,train
data\cloudy\c2803.jpg,c2803.jpg,cloudy,0,train
data\snowy\3050221522.jpg,3050221522.jpg,snowy,3,train
data\cloudy\c2878.jpg,c2878.jpg,cloudy,0,train
data\sunny\s0674.jpg,s0674.jpg,sunny,4,train
data\sunny\s1419.jpg,s1419.jpg,sunny,4,train
data\sunny\s0442.jpg,s0442.jpg,sunny,4,train
data\sunny\s0506.jpg,s0506.jpg,sunny,4,train
data\sunny\s0019.jpg,s0019.jpg,sunny,4,train
data\sunny\s0722.jpg,s0722.jpg,sunny,4,train
data\cloudy\18493602.jpg,18493602.jpg,cloudy,0,train
data\sunny\3753816.jpg,3753816.jpg,sunny,4,train
data\cloudy\24355394.jpg,24355394.jpg,cloudy,0,train
data\cloudy\6870269.jpg,6870269.jpg,cloudy,0,train
data\snowy\2115555295.jpg,2115555295.jpg,snowy,3,train
data\rainy\8881136.jpg,8881136.jpg,rainy,2,train
data\rainy\134656843.jpg,134656843.jpg,rainy,2,train
data\cloudy\3908081.jpg,3908081.jpg,cloudy,0,train
data\sunny\s4633.jpg,s4633.jpg,sunny,4,train
data\cloudy\17464646.jpg,17464646.jpg,cloudy,0,train
data\cloudy\cloudy weather-138.jpeg,cloudy weather-138.jpeg,cloudy,0,train
data\sunny\s4520.jpg,s4520.jpg,sunny,4,train
data\sunny\s3440.jpg,s3440.jpg,sunny,4,train
data\snowy\1030.jpg,1030.jpg,snowy,3,train
data\rainy\733146137.jpg,733146137.jpg,rainy,2,train
data\cloudy\c4414.jpg,c4414.jpg,cloudy,0,train
data\cloudy\cloudy day-68.jpeg,cloudy day-68.jpeg,cloudy,0,train
data\cloudy\c1937.jpg,c1937.jpg,cloudy,0,train
data\cloudy\c0436.jpg,c0436.jpg,cloudy,0,train
data\cloudy\cloudy weather-79.jpeg,cloudy weather-79.jpeg,cloudy,0,train
data\cloudy\12377359.jpg,12377359.jpg,cloudy,0,train
data\sunny\s089.jpg,s089.jpg,sunny,4,train
data\rainy\1257.jpg,1257.jpg,rainy,2,train
data\snowy\830321576.jpg,830321576.jpg,snowy,3,train
data\cloudy\2053500.jpg,2053500.jpg,cloudy,0,train
data\cloudy\c2570.jpg,c2570.jpg,cloudy,0,train
data\foggy\4195.jpg,4195.jpg,foggy,1,train
data\cloudy\c0011.jpg,c0011.jpg,cloudy,0,train
data\rainy\1277.jpg,1277.jpg,rainy,2,train
data\sunny\s1806.jpg,s1806.jpg,sunny,4,train
data\snowy\1175.jpg,1175.jpg,snowy,3,train
data\foggy\foggy weather-71.jpeg,foggy weather-71.jpeg,foggy,1,train
data\sunny\8247790.jpg,8247790.jpg,sunny,4,train
data\cloudy\cloudy day-121.jpeg,cloudy day-121.jpeg,cloudy,0,train
data\sunny\s3580.jpg,s3580.jpg,sunny,4,train
data\cloudy\c3894.jpg,c3894.jpg,cloudy,0,train
data\rainy\1586.jpg,1586.jpg,rainy,2,train
data\sunny\s4431.jpg,s4431.jpg,sunny,4,train
data\cloudy\c4562.jpg,c4562.jpg,cloudy,0,train
data\cloudy\c0593.jpg,c0593.jpg,cloudy,0,train
data\sunny\s1565.jpg,s1565.jpg,sunny,4,train
data\cloudy\c0808.jpg,c0808.jpg,cloudy,0,train
data\foggy\foggy weather-107.jpeg,foggy weather-107.jpeg,foggy,1,train
data\sunny\s3939.jpg,s3939.jpg,sunny,4,train
data\cloudy\c2554.jpg,c2554.jpg,cloudy,0,train
data\sunny\s3523.jpg,s3523.jpg,sunny,4,train
data\sunny\s2403.jpg,s2403.jpg,sunny,4,train
data\sunny\shine204.jpg,shine204.jpg,sunny,4,train
data\sunny\s2866.jpg,s2866.jpg,sunny,4,train
data\cloudy\cloudy55.jpg,cloudy55.jpg,cloudy,0,train
data\foggy\4152.jpg,4152.jpg,foggy,1,train
data\sunny\8925970.jpg,8925970.jpg,sunny,4,train
data\sunny\s1587.jpg,s1587.jpg,sunny,4,train
data\foggy\3261560640.jpg,3261560640.jpg,foggy,1,train
data\cloudy\c4597.jpg,c4597.jpg,cloudy,0,train
data\cloudy\cloudy39.jpg,cloudy39.jpg,cloudy,0,train
data\cloudy\c1694.jpg,c1694.jpg,cloudy,0,train
data\cloudy\c4857.jpg,c4857.jpg,cloudy,0,train
data\cloudy\9403821.jpg,9403821.jpg,cloudy,0,train
data\sunny\s4983.jpg,s4983.jpg,sunny,4,train
data\rainy\264407037.jpg,264407037.jpg,rainy,2,train
data\cloudy\c2555.jpg,c2555.jpg,cloudy,0,train
data\cloudy\c3963.jpg,c3963.jpg,cloudy,0,train
data\rainy\rain67.jpg,rain67.jpg,rainy,2,train
data\cloudy\c0535.jpg,c0535.jpg,cloudy,0,train
data\snowy\0881.jpg,0881.jpg,snowy,3,train
data\sunny\s3400.jpg,s3400.jpg,sunny,4,train
data\snowy\snowy day-94.jpeg,snowy day-94.jpeg,snowy,3,train
data\cloudy\c4053.jpg,c4053.jpg,cloudy,0,train
data\cloudy\c3377.jpg,c3377.jpg,cloudy,0,train
data\cloudy\c3399.jpg,c3399.jpg,cloudy,0,train
data\foggy\foggy weather-14.jpeg,foggy weather-14.jpeg,foggy,1,train
data\cloudy\c3567.jpg,c3567.jpg,cloudy,0,train
data\sunny\28686924.jpg,28686924.jpg,sunny,4,train
data\cloudy\5042417.jpg,5042417.jpg,cloudy,0,train
data\sunny\24885852.jpg,24885852.jpg,sunny,4,train
data\cloudy\c4884.jpg,c4884.jpg,cloudy,0,train
data\cloudy\8117565.jpg,8117565.jpg,cloudy,0,train
data\snowy\3206180581.jpg,3206180581.jpg,snowy,3,train
data\sunny\24967223.jpg,24967223.jpg,sunny,4,train
data\sunny\11213996.jpg,11213996.jpg,sunny,4,train
data\sunny\s2552.jpg,s2552.jpg,sunny,4,train
data\cloudy\c4354.jpg,c4354.jpg,cloudy,0,train
data\sunny\s3369.jpg,s3369.jpg,sunny,4,train
data\sunny\s2562.jpg,s2562.jpg,sunny,4,train
data\cloudy\c1601.jpg,c1601.jpg,cloudy,0,train
data\cloudy\1541255.jpg,1541255.jpg,cloudy,0,train
data\sunny\s3057.jpg,s3057.jpg,sunny,4,train
data\cloudy\c2959.jpg,c2959.jpg,cloudy,0,train
data\cloudy\14355470.jpg,14355470.jpg,cloudy,0,train
data\sunny\s3757.jpg,s3757.jpg,sunny,4,train
data\snowy\snowy weather-20.jpeg,snowy weather-20.jpeg,snowy,3,train
data\cloudy\c3637.jpg,c3637.jpg,cloudy,0,train
data\rainy\2226142442.jpg,2226142442.jpg,rainy,2,train
data\sunny\s2556.jpg,s2556.jpg,sunny,4,train
data\rainy\1495.jpg,1495.jpg,rainy,2,train
data\cloudy\c2271.jpg,c2271.jpg,cloudy,0,train
data\snowy\356775942.jpg,356775942.jpg,snowy,3,train
data\sunny\s2581.jpg,s2581.jpg,sunny,4,train
data\rainy\220745865.jpg,220745865.jpg,rainy,2,train
data\rainy\2346685667.jpg,2346685667.jpg,rainy,2,train
data\foggy\4533.jpg,4533.jpg,foggy,1,train
data\cloudy\c4999.jpg,c4999.jpg,cloudy,0,train
data\snowy\snowy day-138.jpeg,snowy day-138.jpeg,snowy,3,train
data\cloudy\c0796.jpg,c0796.jpg,cloudy,0,train
data\cloudy\25267341.jpg,25267341.jpg,cloudy,0,train
data\cloudy\12000946.jpg,12000946.jpg,cloudy,0,train
data\cloudy\c4217.jpg,c4217.jpg,cloudy,0,train
data\cloudy\c3537.jpg,c3537.jpg,cloudy,0,train
data\cloudy\c3403.jpg,c3403.jpg,cloudy,0,train
data\cloudy\c4258.jpg,c4258.jpg,cloudy,0,train
data\snowy\402394844.jpg,402394844.jpg,snowy,3,train
data\sunny\s1615.jpg,s1615.jpg,sunny,4,train
data\cloudy\cloudy weather-14.jpeg,cloudy weather-14.jpeg,cloudy,0,train
data\sunny\sunny weather-35.jpeg,sunny weather-35.jpeg,sunny,4,train
data\sunny\s1362.jpg,s1362.jpg,sunny,4,train
data\cloudy\c4840.jpg,c4840.jpg,cloudy,0,train
data\cloudy\c3578.jpg,c3578.jpg,cloudy,0,train
data\cloudy\c2096.jpg,c2096.jpg,cloudy,0,train
data\cloudy\c4618.jpg,c4618.jpg,cloudy,0,train
data\cloudy\c1138.jpg,c1138.jpg,cloudy,0,train
data\cloudy\c1794.jpg,c1794.jpg,cloudy,0,train
data\cloudy\c4137.jpg,c4137.jpg,cloudy,0,train
data\foggy\foggy weather-149.jpeg,foggy weather-149.jpeg,foggy,1,train
data\foggy\4771.jpg,4771.jpg,foggy,1,train
data\rainy\137.jpg,137.jpg,rainy,2,train
data\sunny\7586666.jpg,7586666.jpg,sunny,4,train
data\sunny\s4158.jpg,s4158.jpg,sunny,4,train
data\rainy\rain36.jpg,rain36.jpg,rainy,2,train
data\foggy\4760.jpg,4760.jpg,foggy,1,train
data\sunny\s1033.jpg,s1033.jpg,sunny,4,train
data\sunny\s1484.jpg,s1484.jpg,sunny,4,train
data\cloudy\c4460.jpg,c4460.jpg,cloudy,0,train
data\cloudy\c3540.jpg,c3540.jpg,cloudy,0,train
data\sunny\23818779.jpg,23818779.jpg,sunny,4,train
data\snowy\snowy weather-128.jpeg,snowy weather-128.jpeg,snowy,3,train
data\cloudy\c1264.jpg,c1264.jpg,cloudy,0,train
data\cloudy\c1114.jpg,c1114.jpg,cloudy,0,train
data\sunny\s4021.jpg,s4021.jpg,sunny,4,train
data\sunny\26573086.jpg,26573086.jpg,sunny,4,train
data\rainy\1471.jpg,1471.jpg,rainy,2,train
data\sunny\s1302.jpg,s1302.jpg,sunny,4,train
data\cloudy\c4808.jpg,c4808.jpg,cloudy,0,train
data\sunny\s2582.jpg,s2582.jpg,sunny,4,train
data\snowy\0845.jpg,0845.jpg,snowy,3,train
data\cloudy\c1474.jpg,c1474.jpg,cloudy,0,train
data\snowy\1373.jpg,1373.jpg,snowy,3,train
data\cloudy\cloudy weather-68.jpeg,cloudy weather-68.jpeg,cloudy,0,train
data\cloudy\c4337.jpg,c4337.jpg,cloudy,0,train
data\sunny\s1079.jpg,s1079.jpg,sunny,4,train
data\sunny\14001635.jpg,14001635.jpg,sunny,4,train
data\cloudy\c1562.jpg,c1562.jpg,cloudy,0,train
data\sunny\s3799.jpg,s3799.jpg,sunny,4,train
data\foggy\4426.jpg,4426.jpg,foggy,1,train
data\cloudy\25869683.jpg,25869683.jpg,cloudy,0,train
data\cloudy\cloudy day-73.jpeg,cloudy day-73.jpeg,cloudy,0,train
data\sunny\s2863.jpg,s2863.jpg,sunny,4,train
data\rainy\1429.jpg,1429.jpg,rainy,2,train
data\rainy\283815688.jpg,283815688.jpg,rainy,2,train
data\rainy\2079998555.jpg,2079998555.jpg,rainy,2,train
data\sunny\s4916.jpg,s4916.jpg,sunny,4,train
data\sunny\27585784.jpg,27585784.jpg,sunny,4,train
data\sunny\23386232.jpg,23386232.jpg,sunny,4,train
data\cloudy\c2721.jpg,c2721.jpg,cloudy,0,train
data\cloudy\13581055.jpg,13581055.jpg,cloudy,0,train
data\cloudy\c3550.jpg,c3550.jpg,cloudy,0,train
data\sunny\s3192.jpg,s3192.jpg,sunny,4,train
data\cloudy\c2374.jpg,c2374.jpg,cloudy,0,train
data\cloudy\c083.jpg,c083.jpg,cloudy,0,train
data\sunny\s4113.jpg,s4113.jpg,sunny,4,train
data\cloudy\c2030.jpg,c2030.jpg,cloudy,0,train
data\cloudy\cloudy day-74.jpeg,cloudy day-74.jpeg,cloudy,0,train
data\sunny\21456321.jpg,21456321.jpg,sunny,4,train
data\sunny\s4572.jpg,s4572.jpg,sunny,4,train
data\cloudy\18968808.jpg,18968808.jpg,cloudy,0,train
data\sunny\s3957.jpg,s3957.jpg,sunny,4,train
data\snowy\0980.jpg,0980.jpg,snowy,3,train
data\foggy\386870084.jpg,386870084.jpg,foggy,1,train
data\sunny\sunny weather-103.jpeg,sunny weather-103.jpeg,sunny,4,train
data\cloudy\c038.jpg,c038.jpg,cloudy,0,train
data\cloudy\c2859.jpg,c2859.jpg,cloudy,0,train
data\sunny\4384063.jpg,4384063.jpg,sunny,4,train
data\cloudy\c2832.jpg,c2832.jpg,cloudy,0,train
data\sunny\s4142.jpg,s4142.jpg,sunny,4,train
data\rainy\1427.jpg,1427.jpg,rainy,2,train
data\cloudy\c0537.jpg,c0537.jpg,cloudy,0,train
data\cloudy\c0314.jpg,c0314.jpg,cloudy,0,train
data\foggy\4478.jpg,4478.jpg,foggy,1,train
data\sunny\s0669.jpg,s0669.jpg,sunny,4,train
data\cloudy\c0802.jpg,c0802.jpg,cloudy,0,train
data\sunny\shine220.jpg,shine220.jpg,sunny,4,train
data\snowy\1009.jpg,1009.jpg,snowy,3,train
data\cloudy\cloudy156.jpg,cloudy156.jpg,cloudy,0,train
data\cloudy\c4149.jpg,c4149.jpg,cloudy,0,train
data\cloudy\c0418.jpg,c0418.jpg,cloudy,0,train
data\cloudy\cloudy day-111.jpeg,cloudy day-111.jpeg,cloudy,0,train
data\sunny\s1391.jpg,s1391.jpg,sunny,4,train
data\sunny\s141.jpg,s141.jpg,sunny,4,train
data\foggy\4410.jpg,4410.jpg,foggy,1,train
data\snowy\1322.jpg,1322.jpg,snowy,3,train
data\rainy\1454.jpg,1454.jpg,rainy,2,train
data\sunny\s2362.jpg,s2362.jpg,sunny,4,train
data\rainy\1798.jpg,1798.jpg,rainy,2,train
data\sunny\s0928.jpg,s0928.jpg,sunny,4,train
data\sunny\s0440.jpg,s0440.jpg,sunny,4,train
data\sunny\23211350.jpg,23211350.jpg,sunny,4,train
data\sunny\s3692.jpg,s3692.jpg,sunny,4,train
data\rainy\rainy day-125.jpeg,rainy day-125.jpeg,rainy,2,train
data\sunny\12150679.jpg,12150679.jpg,sunny,4,train
data\rainy\rain70.jpg,rain70.jpg,rainy,2,train
data\sunny\s0626.jpg,s0626.jpg,sunny,4,train
data\foggy\2277022248.jpg,2277022248.jpg,foggy,1,train
data\sunny\s0433.jpg,s0433.jpg,sunny,4,train
data\snowy\1388.jpg,1388.jpg,snowy,3,train
data\rainy\223743194.jpg,223743194.jpg,rainy,2,train
data\cloudy\c0347.jpg,c0347.jpg,cloudy,0,train
data\rainy\rainy day-55.jpeg,rainy day-55.jpeg,rainy,2,train
data\snowy\2258405195.jpg,2258405195.jpg,snowy,3,train
data\cloudy\c2691.jpg,c2691.jpg,cloudy,0,train
data\foggy\4731.jpg,4731.jpg,foggy,1,train
data\rainy\2218160151.jpg,2218160151.jpg,rainy,2,train
data\cloudy\c3080.jpg,c3080.jpg,cloudy,0,train
data\cloudy\c4915.jpg,c4915.jpg,cloudy,0,train
data\sunny\s4323.jpg,s4323.jpg,sunny,4,train
data\cloudy\c0175.jpg,c0175.jpg,cloudy,0,train
data\sunny\s0632.jpg,s0632.jpg,sunny,4,train
data\rainy\rain132.jpg,rain132.jpg,rainy,2,train
data\cloudy\c0309.jpg,c0309.jpg,cloudy,0,train
data\snowy\0862.jpg,0862.jpg,snowy,3,train
data\cloudy\c1328.jpg,c1328.jpg,cloudy,0,train
data\rainy\rainy day-91.jpeg,rainy day-91.jpeg,rainy,2,train
data\sunny\s4247.jpg,s4247.jpg,sunny,4,train
data\cloudy\c004.jpg,c004.jpg,cloudy,0,train
data\sunny\s2364.jpg,s2364.jpg,sunny,4,train
data\cloudy\c0444.jpg,c0444.jpg,cloudy,0,train
data\sunny\s3573.jpg,s3573.jpg,sunny,4,train
data\cloudy\c3580.jpg,c3580.jpg,cloudy,0,train
data\sunny\s4201.jpg,s4201.jpg,sunny,4,train
data\sunny\s2262.jpg,s2262.jpg,sunny,4,train
data\rainy\rainy weather-83.jpeg,rainy weather-83.jpeg,rainy,2,train
data\sunny\8918446.jpg,8918446.jpg,sunny,4,train
data\sunny\27954420.jpg,27954420.jpg,sunny,4,train
data\snowy\383909743.jpg,383909743.jpg,snowy,3,train
data\cloudy\12463482.jpg,12463482.jpg,cloudy,0,train
data\sunny\s2317.jpg,s2317.jpg,sunny,4,train
data\foggy\foggy weather-122.jpeg,foggy weather-122.jpeg,foggy,1,train
data\cloudy\c4648.jpg,c4648.jpg,cloudy,0,train
data\cloudy\c3603.jpg,c3603.jpg,cloudy,0,train
data\cloudy\c4154.jpg,c4154.jpg,cloudy,0,train
data\sunny\s1669.jpg,s1669.jpg,sunny,4,train
data\cloudy\c3343.jpg,c3343.jpg,cloudy,0,train
data\cloudy\c0028.jpg,c0028.jpg,cloudy,0,train
data\snowy\snowy weather-35.jpeg,snowy weather-35.jpeg,snowy,3,train
data\sunny\s0623.jpg,s0623.jpg,sunny,4,train
data\foggy\4328.jpg,4328.jpg,foggy,1,train
data\snowy\1033.jpg,1033.jpg,snowy,3,train
data\cloudy\c0180.jpg,c0180.jpg,cloudy,0,train
data\sunny\s1988.jpg,s1988.jpg,sunny,4,train
data\sunny\s1070.jpg,s1070.jpg,sunny,4,train
data\sunny\s1401.jpg,s1401.jpg,sunny,4,train
data\sunny\s1011.jpg,s1011.jpg,sunny,4,train
data\cloudy\cloudy3.jpg,cloudy3.jpg,cloudy,0,train
data\snowy\1206.jpg,1206.jpg,snowy,3,train
data\snowy\snowy weather-41.jpeg,snowy weather-41.jpeg,snowy,3,train
data\cloudy\c0756.jpg,c0756.jpg,cloudy,0,train
data\cloudy\c1355.jpg,c1355.jpg,cloudy,0,train
data\cloudy\c4083.jpg,c4083.jpg,cloudy,0,train
data\cloudy\c4902.jpg,c4902.jpg,cloudy,0,train
data\rainy\83.jpg,83.jpg,rainy,2,train
data\rainy\1824.jpg,1824.jpg,rainy,2,train
data\cloudy\c2334.jpg,c2334.jpg,cloudy,0,train
data\sunny\8549992.jpg,8549992.jpg,sunny,4,train
data\cloudy\cloudy day-41.jpeg,cloudy day-41.jpeg,cloudy,0,train
data\rainy\1078.jpg,1078.jpg,rainy,2,train
data\sunny\s1964.jpg,s1964.jpg,sunny,4,train
data\cloudy\c3769.jpg,c3769.jpg,cloudy,0,train
data\sunny\s0749.jpg,s0749.jpg,sunny,4,train
data\cloudy\c1287.jpg,c1287.jpg,cloudy,0,train
data\cloudy\c0133.jpg,c0133.jpg,cloudy,0,train
data\sunny\28022923.jpg,28022923.jpg,sunny,4,train
data\cloudy\c4530.jpg,c4530.jpg,cloudy,0,train
data\cloudy\c4140.jpg,c4140.jpg,cloudy,0,train
data\cloudy\26519964.jpg,26519964.jpg,cloudy,0,train
data\snowy\0995.jpg,0995.jpg,snowy,3,train
data\rainy\2363307731.jpg,2363307731.jpg,rainy,2,train
data\foggy\962546143.jpg,962546143.jpg,foggy,1,train
data\snowy\snowy day-72.jpeg,snowy day-72.jpeg,snowy,3,train
data\cloudy\c2461.jpg,c2461.jpg,cloudy,0,train
data\snowy\3062527099.jpg,3062527099.jpg,snowy,3,train
data\cloudy\c2579.jpg,c2579.jpg,cloudy,0,train
data\rainy\150921726.jpg,150921726.jpg,rainy,2,train
data\foggy\foggy weather-30.jpeg,foggy weather-30.jpeg,foggy,1,train
data\cloudy\cloudy weather-104.jpeg,cloudy weather-104.jpeg,cloudy,0,train
data\snowy\3082048616.jpg,3082048616.jpg,snowy,3,train
data\foggy\foggy day-60.jpeg,foggy day-60.jpeg,foggy,1,train
data\cloudy\c2649.jpg,c2649.jpg,cloudy,0,train
data\sunny\s2739.jpg,s2739.jpg,sunny,4,train
data\foggy\4392.jpg,4392.jpg,foggy,1,train
data\sunny\s4657.jpg,s4657.jpg,sunny,4,train
data\sunny\s005.jpg,s005.jpg,sunny,4,train
data\cloudy\c3028.jpg,c3028.jpg,cloudy,0,train
data\cloudy\c3552.jpg,c3552.jpg,cloudy,0,train
data\cloudy\c2013.jpg,c2013.jpg,cloudy,0,train
data\sunny\s4922.jpg,s4922.jpg,sunny,4,train
data\cloudy\c0909.jpg,c0909.jpg,cloudy,0,train
data\foggy\317685049.jpg,317685049.jpg,foggy,1,train
data\cloudy\c0942.jpg,c0942.jpg,cloudy,0,train
data\sunny\s1926.jpg,s1926.jpg,sunny,4,train
data\cloudy\c1861.jpg,c1861.jpg,cloudy,0,train
data\sunny\s1873.jpg,s1873.jpg,sunny,4,train
data\foggy\foggy weather-103.jpeg,foggy weather-103.jpeg,foggy,1,train
data\sunny\s3887.jpg,s3887.jpg,sunny,4,train
data\snowy\1146.jpg,1146.jpg,snowy,3,train
data\sunny\s2617.jpg,s2617.jpg,sunny,4,train
data\cloudy\c2724.jpg,c2724.jpg,cloudy,0,train
data\sunny\s1635.jpg,s1635.jpg,sunny,4,train
data\cloudy\505121.jpg,505121.jpg,cloudy,0,train
data\foggy\2239497429.jpg,2239497429.jpg,foggy,1,train
data\foggy\295234119.jpg,295234119.jpg,foggy,1,train
data\snowy\2260982650.jpg,2260982650.jpg,snowy,3,train
data\sunny\s2088.jpg,s2088.jpg,sunny,4,train
data\snowy\3233779683.jpg,3233779683.jpg,snowy,3,train
data\sunny\s0380.jpg,s0380.jpg,sunny,4,train
data\cloudy\c2550.jpg,c2550.jpg,cloudy,0,train
data\rainy\1262.jpg,1262.jpg,rainy,2,train
data\sunny\shine54.jpg,shine54.jpg,sunny,4,train
data\sunny\s0038.jpg,s0038.jpg,sunny,4,train
